,Unnamed: 0,GAMA_ID,ID,RA,DEC,SCORE,z1,sigma1,template1,z2,sigma2,template2,prob,error
0,0,3899011.0,2251.0,131.33397,-0.91563,64.0,0.40274181962013245,8.433294296264648,40.0,0.35960134863853455,3.5196540355682373,42.0,0.9999904036521912,54.17573547363281
1,1,376338.0,2660.0,132.98734,1.50468,30.0,,,,,,,,
2,2,323152.0,2967.0,130.54643000000002,1.64325,30.0,0.7215898633003235,11.317520141601562,47.0,0.35328593850135803,7.519263744354248,40.0,0.9894577264785767,29.413358688354492
3,3,663364.0,2669.0,140.35284,-0.97414,28.0,0.3221307694911957,11.63154125213623,40.0,0.7571136951446533,3.4038925170898438,47.0,1.0,41.38912582397461
4,4,3629152.0,1933.0,135.88863999999998,-0.97487,26.0,0.40662315487861633,4.328008651733398,40.0,0.7871177792549133,3.6913530826568604,40.0,0.7928287386894226,87.77485656738281
5,4,3629152.0,1933.0,135.88863999999998,-0.97487,26.0,0.4058126211166382,4.959479808807373,40.0,0.7883777022361755,3.1229379177093506,42.0,0.9682707786560059,78.94024658203125
6,5,3575500.0,1906.0,129.23265,-1.57512,26.0,0.3651945888996124,8.068477630615234,42.0,0.23253659904003143,4.330916404724121,43.0,0.999701738357544,57.593048095703125
7,6,197972.0,2007.0,137.85838,-0.7528,24.0,,,,,,,,
8,7,3883690.0,2756.0,134.57492,-1.55142,22.0,0.24808938801288605,9.996488571166992,40.0,0.6570139527320862,3.7962608337402344,47.0,0.9999966025352478,40.971492767333984
9,9,3911769.0,1704.0,138.66089,-1.11639,20.0,0.2795252799987793,9.453353881835938,40.0,-0.00019378548313397914,3.075279474258423,7.0,0.9999999403953552,45.14091491699219
10,9,3911769.0,1704.0,138.66089,-1.11639,20.0,0.2793223559856415,10.793142318725586,40.0,0.6818790435791016,3.501178741455078,45.0,0.9999999403953552,42.618690490722656
11,10,371400.0,2275.0,131.20438,1.00064,18.0,0.2949441075325012,10.016762733459473,40.0,0.2797389030456543,2.9788427352905273,47.0,1.0,43.25559616088867
12,11,204703.0,887.0,139.07321000000002,-0.40157,18.0,,,,,,,,
13,12,279505.0,654.0,137.68558000000002,1.05648,18.0,0.22626453638076782,12.158058166503906,40.0,0.01706302911043167,3.1191084384918213,45.0,1.0,39.127723693847656
14,13,386188.0,1677.0,130.0474,2.10251,18.0,0.35983577370643616,10.896883010864258,40.0,0.2916497588157654,3.0063295364379883,47.0,1.0,41.23919677734375
15,14,3599660.0,635.0,129.29506,-0.99631,18.0,0.3813742995262146,10.02219295501709,47.0,0.028298653662204742,6.865635395050049,47.0,0.8111270070075989,40.316890716552734
